Metric		Current
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_STANZA_SERVICE		54
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_STANZA_SERVICE		54
DUPLICATION_PERCENTAGE_PRIMARY_STANZA_SERVICE		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_ROOT		6
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_ROOT		6
DUPLICATION_PERCENTAGE_PRIMARY_ROOT		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_IPYNB		8,654
DUPLICATION_NUMBER_OF_CLEANED_LINES_IPYNB		8,654
DUPLICATION_PERCENTAGE_IPYNB		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PY		7,050
DUPLICATION_NUMBER_OF_CLEANED_LINES_PY		43,645
DUPLICATION_PERCENTAGE_PY		16.15
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_SQL		130
DUPLICATION_NUMBER_OF_CLEANED_LINES_SQL		2,427
DUPLICATION_PERCENTAGE_SQL		5.36
TOTAL_ANALYSIS_TIME_IN_MILLIS		69,209
